image path,title,price,image URL
D:\study\OJT\ImagesBookSearch\backend\images\mu_i---b_a-tr_c-600.jpg,Muối - Sự Hồi Sinh Nơi Sâu Thẳm Vụn Vỡ,132.800đ,https://cdn0.fahasa.com/media/catalog/product/m/u/mu_i---b_a-tr_c-600.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_image_183259.jpg,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,122.200đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_image_183259.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935280917194.jpg,"Happy Organizations - Hiểu Và Ứng Dụng Tổng Hạnh Phúc Quốc Gia (GNH), Hướng Tới Lãnh Đạo Dựa Trên Sự Chuyển Hoá",131.970đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935280917194.jpg
D:\study\OJT\ImagesBookSearch\backend\images\b_a-tr_c-manifest.jpg,Manifest - 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,71.200đ,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c-manifest.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935278606604.jpg,Bốn Thỏa Ước,91.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935278606604.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_8935086854730.jpg,Tất Cả Đều Là Chuyện Nhỏ (Khổ Lớn) (Tái Bản 2021),49.640đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_8935086854730.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043295351_1.jpg,Nghệ Thuật Kaizen Tuyệt Vời Của Toyota (Tái Bản 2023),87.500đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043295351_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935236427401.jpg,Thái Căn Đàm - Tinh Hoa Đối Nhân Xử Thế Của Cổ Nhân,87.150đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935236427401.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_8935246935859.jpg,"Khi Cơ Thể ""Cất Tiếng"" - Giải Mã Hơn 400 Dấu Hiệu Từ Tóc Đến Chân",62.780đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_8935246935859.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_dntttttuntitled_1.jpg,Đắc Nhân Tâm - Bìa Cứng (Tái Bản 2021),75.600đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_dntttttuntitled_1.jpg
